Àà±ð,ÐòºÅ,Ãû  ³Æ,¿ÉÊ³²¿·Ö,ÄÜÁ¿,Ë®·Ö,µ°°×ÖÊ,Ö¬·¾,ÉÅÊ³ÏËÎ¬,Ì¼Ë®»¯Îï,Î¬ÉúËØA,Î¬ÉúËØB1,Î¬ÉúËØB2,ÑÌËá,Î¬ÉúËØE,ÄÆ,¸Æ,Ìú,Àà±ð,Î¬ÉúËØC,µ¨¹Ì´¼
1,1,´ó»ÆÃ×£¨Êò£©,100,349,1.130000e+01,1.360000e+01,2.700000e+00,3.500000e+00,6.760000e+01,0,3.000000e-01,9.000000e-02,1.400000e+00,1.790000e+00,1.700000e+00,30,5.700000e+00,11,0,0
1,23,¸ßÁ»Ã×,100,351,1.030000e+01,1.040000e+01,3.100000e+00,4.300000e+00,7.040000e+01,0,2.900000e-01,1.000000e-01,1.600000e+00,1.880000e+00,6.300000e+00,22,6.300000e+00,11,0,0
1,28,ºÚÃ×£¨µ¾Ã×£¨×Ï£©£©,100,333,1.430000e+01,9.400000e+00,2.500000e+00,3.900000e+00,6.830000e+01,0,3.300000e-01,1.300000e-01,7.900000e+00,2.200000e-01,7.100000e+00,12,1.600000e+00,11,0,0
1,33,¿àÜñÂó·Û,100,304,1.930000e+01,9.700000e+00,2.700000e+00,5.800000e+00,6.020000e+01,0,3.200000e-01,2.100000e-01,1.500000e+00,1.730000e+00,2.300000e+00,39,4.400000e+00,11,0,0
1,43,ÃæÌõ£¨±ê×¼·Û£©£¨ÇÐÃæ£©,100,280,2.970000e+01,8.500000e+00,1.600000e+00,1.500000e+00,58,0,3.500000e-01,1.000000e-01,3.100000e+00,4.700000e-01,3.400000e+00,13,2.600000e+00,11,0,0
1,56,Å´Ã×£¨×Ïºì£¬ÑªÅ´Ã×£©,100,343,1.380000e+01,8.300000e+00,1.700000e+00,1.400000e+00,7.370000e+01,0,3.100000e-01,1.200000e-01,4.200000e+00,1.360000e+00,4,13,3.900000e+00,11,0,0
1,57,ÜñÂó,100,324,13,9.300000e+00,2.300000e+00,6.500000e+00,6.650000e+01,3,2.800000e-01,1.600000e-01,2.200000e+00,4.400000e+00,4.700000e+00,47,6.200000e+00,11,0,0
1,65,Ð¡Âó·Û£¨±ê×¼·Û£©,100,344,1.270000e+01,1.120000e+01,1.500000e+00,2.100000e+00,7.150000e+01,0,2.800000e-01,8.000000e-02,2,1.800000e+00,3.100000e+00,31,3.500000e+00,11,0,0
1,68,Ð¡Ã×,100,358,1.160000e+01,9,3.100000e+00,1.600000e+00,7.350000e+01,17,3.300000e-01,1.000000e-01,1.500000e+00,3.630000e+00,4.300000e+00,41,5.100000e+00,11,0,0
1,71,Þ²Ã×£¨Þ²ÜÓ»Ø»ØÃ×£©,100,357,1.120000e+01,1.280000e+01,3.300000e+00,2,6.910000e+01,0,2.200000e-01,1.500000e-01,2,2.080000e+00,3.600000e+00,42,3.600000e+00,11,0,0
