ÐòºÅ,Ãû  ³Æ,¿ÉÊ³²¿·Ö,ÄÜÁ¿,Ë®·Ö,µ°°×ÖÊ,Ö¬·¾,ÉÅÊ³ÏËÎ¬,Ì¼Ë®»¯Îï,Î¬ÉúËØA,Î¬ÉúËØB1,Î¬ÉúËØB2,ÑÌËá,Î¬ÉúËØE,ÄÆ,¸Æ,Ìú,Àà±ð,Î¬ÉúËØC,µ¨¹Ì´¼
1,´ó»ÆÃ×£¨Êò£©,100,349,11.30000019,13.60000038,2.700000048,3.5,67.59999847,0,0.300000012,0.090000004,1.399999976,1.789999962,1.700000048,30,5.699999809,11,0,0
2,´óÂó£¨ÔªÂó£©,100,307,13.10000038,10.19999981,1.399999976,9.899999619,63.40000153,0,0.140000001,0.050000001,5,0.25,1.600000024,13,5.099999905,11,0,0
3,µ¾¹È£¨ÔçôÌ£©,64,359,10.19999981,9.899999619,2.200000048,1.399999976,74.80000305,0,0.140000001,0.050000001,5,0.25,1.600000024,13,5.099999905,11,0,0
4,µ¾Ã×£¨´óÃ×£©,100,346,13.30000019,7.400000095,0.800000012,0.699999988,77.19999695,0,0.109999999,0.050000001,1.899999976,0.460000008,3.799999952,13,2.299999952,11,0,0
5,µ¾Ã×£¨¾¬£¬ÌØ¼¶£©,100,334,16.20000076,7.300000191,0.400000006,0.400000006,75.30000305,0,0.079999998,0.039999999,1.100000024,0.75999999,6.199999809,24,0.899999976,11,0,0
6,µ¾Ã×£¨¾¬£¬±êÒ»£©,100,343,13.69999981,7.699999809,0.600000024,0.600000024,76.80000305,0,0.159999996,0.079999998,1.299999952,1.00999999,2.400000095,11,1.100000024,11,0,0
7,µ¾Ã×£¨¾¬£¬±ê¶þ£©,100,348,13.19999981,8,0.600000024,0,77.69999695,0,0.219999999,0.050000001,2.599999905,0.529999971,0.899999976,3,0.400000006,11,0,0
8,µ¾Ã×£¨¾¬£¬±êÈý£©,100,345,13.89999962,7.199999809,0.800000012,0.400000006,77.19999695,0,0.330000013,0.029999999,3.599999905,0.379999995,1.299999952,5,0.699999988,11,0,0
9,µ¾Ã×£¨¾¬£¬±êËÄ£©,100,346,13.10000038,7.5,0.699999988,0.699999988,77.40000153,0,0.140000001,0.050000001,5.199999809,0.389999986,1.600000024,4,0.699999988,11,0,0
10,µ¾Ã×£¨ÔçôÌ£¬ÌØµÈ£©,100,346,12.89999962,9.100000381,0.600000024,0.699999988,76,0,0.129999995,0.029999999,1.600000024,0,1.299999952,6,0.899999976,11,0,0
11,µ¾Ã×£¨ÔçôÌ£¬±êÒ»£©,100,351,12.30000019,8.800000191,1,0.400000006,76.80000305,0,0.159999996,0.050000001,2,0,1.899999976,10,1.200000048,11,0,0
12,µ¾Ã×£¨ÔçôÌ£¬±ê¶þ£©,100,345,13.69999981,9.5,1,0.5,74.59999847,0,0.200000003,0.090000004,3,0,0.800000012,6,1,11,0,0
13,µ¾Ã×£¨ÍíôÌ£¬ÌØ£©,100,342,14,8.100000381,0.300000012,0.200000003,76.69999695,0,0.090000004,0.100000001,1.5,0,0.800000012,6,0.699999988,11,0,0
